Recording,Animal,Slice,Cell,Genotype,Condition,peak,afterhyp,amp,thresh,half,rise,fall,IR,Rh,sag,Apnum,maxApnum
43,15,43,43,APOE4,Ketamine,46.51128307,-50.21078509,82.27851645,-35.76723338,1.536687968,4.588956533,-1.100330893,54.47706829,151.7241379,17.99150331,16,16
44,15,44,44,APOE4,Ketamine,46.51128307,-50.21078509,82.27851645,-35.76723338,1.536687968,4.588956533,-1.100330893,54.47706829,151.7241379,17.99150331,16,16
45,16,45,45,APOE4,Ketamine,33.94509534,-62.59013501,84.76782787,-50.82273253,1.690279122,5.188670195,-1.045087676,27.3823393,151.7241379,27.75469733,12,12
46,16,46,46,APOE4,Ketamine,49.1000026,-47.80210257,87.49851551,-38.39851291,1.681214851,4.892338042,-1.056736128,94.58746361,110.3448276,17.50446253,12,12
47,16,47,47,APOE4,Ketamine,46.00886387,-51.88222323,88.36832106,-42.35945719,1.719260206,5.723964117,-1.001190288,51.53233986,151.7241379,22.29250264,11,11
48,16,48,48,APOE4,Ketamine,45.66225438,-56.76323199,92.08473395,-46.42247957,1.544920932,6.755541321,-1.176893193,24.85226835,172.4137931,19.92314437,13,13
49,17,49,49,APOE4,Ketamine,42.34639428,-49.46745803,80.67124289,-38.32484861,1.845908661,2.75768684,-0.935466766,94.87942793,180,22.15372601,10,11
50,17,50,50,APOE4,Ketamine,45.0515392,-46.53688744,81.5729596,-36.5214204,2.26903225,3.035708914,-0.778936353,92.9045594,140,21.71717465,11,11
51,17,51,51,APOE4,Ketamine,36.54965551,-46.69790781,67.91842371,-31.3687682,1.604822901,2.286490189,-0.874877666,96.96056138,180,15.74474532,6,8
52,18,52,52,APOE4,Ketamine,40.92941364,-44.89447972,72.68463077,-31.75521712,1.59589469,4.124806912,-0.931905746,58.75501275,220,12.84238758,7,7
53,18,53,53,APOE4,Ketamine,41.83112859,-46.05382635,76.64573297,-34.81460438,1.778870182,3.302931805,-0.833280739,66.90202432,220,16.24295047,7,8
54,18,54,54,APOE4,Ketamine,44.61557157,-52.78916295,71.77990099,-27.16432942,1.539649175,3.944879409,-1.042300548,105.7811613,140,17.59152169,14,14
55,18,55,55,APOE4,Ketamine,41.16003166,-47.19529253,63.5323955,-22.37236385,1.866812901,3.196752317,-0.758564022,71.27581888,180,18.50582346,13,13
56,19,56,56,APOE3,Memantine,47.08039797,-48.6945603,82.8933287,-35.81293073,1.662272049,5.587409409,-0.997360574,56.81958759,140,16.02464551,12,13
57,19,57,57,APOE3,Memantine,43.28031335,-47.30978519,76.80675468,-33.52644134,1.720042435,4.275092664,-0.93044552,76.37688481,160,18.28521581,14,14
58,19,58,58,APOE3,Memantine,45.59900902,-47.34198926,82.1526335,-36.55362447,1.637747718,5.568086797,-0.980014549,85.2322981,100,18.8286166,14,14
59,19,59,59,APOE3,Memantine,45.14815152,-50.3047639,84.76116313,-39.6130116,1.567788223,5.64537663,-1.123642565,47.98610979,160,17.7778834,12,12
60,20,60,60,APOE3,Memantine,45.40578438,-45.2809286,79.93055208,-34.5247677,1.715993353,4.648123437,-0.962649608,58.54913123,120,18.05690606,13,14
61,20,61,61,APOE3,Memantine,47.66007192,-47.79284627,80.76786026,-33.10778834,1.610162237,4.908195961,-0.981580587,71.35710067,180,16.99820828,12,12
62,20,62,62,APOE3,Memantine,43.85998726,-44.66905121,77.09659191,-33.23660465,1.989647649,3.123796617,-0.712815834,75.04199275,140,16.66981844,9,10
63,20,63,63,APOE3,Memantine,42.8322571,-52.00878611,82.70010701,-39.8678499,1.613795765,5.455372882,-0.918391595,33.1690746,180,18.60597945,10,10
64,21,64,64,APOE3,Memantine,44.40745707,-46.08603042,80.70344894,-36.29599187,1.727967117,3.712057958,-0.87784891,73.50906872,140,18.42742939,11,11
65,21,65,65,APOE3,Memantine,45.9210501,-46.15043857,80.86447078,-34.94342069,1.646333751,3.261670384,-0.948472314,56.22871884,160,10.77874991,9,9
66,21,66,66,APOE3,Memantine,44.21423243,-46.76231595,82.21704029,-38.00280786,1.696341657,3.5327885,-0.91986583,24.53401575,200,16.4634507,9,9
67,21,67,67,APOE3,Memantine,50.13978829,-46.73011188,84.9221886,-34.78240031,1.622079664,5.542323846,-0.933333023,75.24988379,160,17.74639907,12,12
68,22,68,68,APOE4,Memantine,44.92272278,-46.4724793,76.80675621,-31.88403343,1.690405146,3.631011044,-0.953635324,73.32190824,160,14.06391647,13,13
69,22,69,69,APOE4,Memantine,47.14480619,-49.01660102,80.12377822,-32.97897204,1.628038206,4.393174524,-1.067985559,101.9896032,140,16.55359427,16,16
70,22,70,70,APOE4,Memantine,44.085416,-50.7556209,81.92720349,-37.84178748,1.600425261,3.786280609,-1.139951479,75.56624868,160,18.93371145,16,16
71,23,71,71,APOE4,Memantine,48.40076641,-49.59627432,82.95773818,-34.55697178,1.534967085,4.478845757,-1.137519947,74.92788545,140,13.48786853,14,14
72,23,72,72,APOE4,Memantine,46.85496922,-50.62680462,85.01879745,-38.16382824,1.520049236,4.71387357,-1.201797984,120.7376762,160,14.36645275,15,15
73,23,73,73,APOE4,Memantine,43.60235441,-47.85725442,78.99663216,-35.39427775,1.79613257,3.271734092,-0.988139692,65.93722912,240,19.98828094,6,6
74,24,74,74,APOE4,Memantine,44.43966117,-48.3403155,79.25426556,-34.81460438,1.734414973,3.695419189,-0.969665066,84.33270969,160,19.10314552,13,13
75,24,75,75,APOE4,Memantine,45.40578438,-48.114887,80.47802137,-35.07223699,1.784232829,2.988718371,-0.913641892,155.3154869,140,17.11035344,13,13
76,24,76,76,APOE4,Memantine,46.790561,-49.17762138,84.34251181,-37.55195081,1.779096159,4.252089973,-0.946442344,48.7500549,220,20.61862356,11,11
